ri	V(ref)	Ix(U1:K)
2.000000000000000e+02	2.500824e+00	1.249588e-02
2.500000000000000e+02	2.499985e+00	1.000006e-02
3.000000000000000e+02	2.499387e+00	8.335378e-03
3.500000000000000e+02	2.498935e+00	7.145900e-03
4.000000000000000e+02	2.498579e+00	6.253552e-03
4.500000000000000e+02	2.498290e+00	5.559355e-03
5.000000000000000e+02	2.498050e+00	5.003900e-03
5.500000000000000e+02	2.497846e+00	4.549371e-03
6.000000000000000e+02	2.497670e+00	4.170549e-03
6.500000000000000e+02	2.497517e+00	3.849973e-03
7.000000000000000e+02	2.497382e+00	3.575168e-03
7.500000000000000e+02	2.497262e+00	3.336984e-03
8.000000000000000e+02	2.497154e+00	3.128558e-03
8.500000000000000e+02	2.497056e+00	2.944640e-03
9.000000000000000e+02	2.496968e+00	2.781147e-03
9.500000000000000e+02	2.496886e+00	2.634856e-03
1.000000000000000e+03	2.496812e+00	2.503188e-03
1.050000000000000e+03	2.496743e+00	2.384054e-03
1.100000000000000e+03	2.496679e+00	2.275746e-03
1.150000000000000e+03	2.496620e+00	2.176852e-03
1.200000000000000e+03	2.496565e+00	2.086196e-03
1.250000000000000e+03	2.496513e+00	2.002790e-03
1.300000000000000e+03	2.496464e+00	1.925797e-03
1.350000000000000e+03	2.496418e+00	1.854505e-03
1.400000000000000e+03	2.496375e+00	1.788303e-03
1.450000000000000e+03	2.496335e+00	1.726666e-03
1.500000000000000e+03	2.496296e+00	1.669136e-03
1.550000000000000e+03	2.496259e+00	1.615317e-03
1.600000000000000e+03	2.496224e+00	1.564860e-03
1.650000000000000e+03	2.496191e+00	1.517460e-03
1.700000000000000e+03	2.496160e+00	1.472847e-03
1.750000000000000e+03	2.496129e+00	1.430783e-03
1.800000000000000e+03	2.496100e+00	1.391055e-03
1.850000000000000e+03	2.496073e+00	1.353474e-03
1.900000000000000e+03	2.496046e+00	1.317871e-03
1.950000000000000e+03	2.496020e+00	1.284092e-03
2.000000000000000e+03	2.495996e+00	1.252002e-03
2.050000000000000e+03	2.495972e+00	1.221477e-03
2.100000000000000e+03	2.495950e+00	1.192405e-03
2.150000000000000e+03	2.495927e+00	1.164685e-03
2.200000000000000e+03	2.495906e+00	1.138224e-03
